ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
"Diabetes Mellitus, Type 2"	"Diabetes Mellitus, Type 2"	47/196	147/1764	4.99E-13	1.49E-11	5.36E-12	hsa-mir-148b/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-1271/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-128-2/hsa-mir-107/hsa-mir-30e/hsa-mir-410/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-217/hsa-mir-187/hsa-mir-20b/hsa-mir-320c-1/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-320d-1	47
Prostate Neoplasms	Prostate Neoplasms	32/196	75/1764	6.31E-13	1.74E-11	6.25E-12	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-616/hsa-mir-331/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-32/hsa-mir-30c-1/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-203a/hsa-mir-99b/hsa-mir-203b/hsa-mir-105-2/hsa-mir-486-1	32
Inflammation	Inflammation	40/196	112/1764	6.58E-13	1.74E-11	6.25E-12	hsa-mir-455/hsa-let-7f-2/hsa-mir-199b/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-199a-1/hsa-mir-140/hsa-mir-107/hsa-mir-744/hsa-mir-188/hsa-mir-210/hsa-mir-134/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-7-1/hsa-mir-132/hsa-mir-147b/hsa-mir-93/hsa-mir-100/hsa-mir-328/hsa-mir-1-2/hsa-mir-155/hsa-mir-203a/hsa-mir-1-1/hsa-mir-99b/hsa-mir-203b/hsa-mir-31/hsa-mir-1224/hsa-mir-20b/hsa-mir-105-2/hsa-mir-133a-2	40
Breast Neoplasms	Breast Neoplasms	47/196	148/1764	6.66E-13	1.74E-11	6.25E-12	hsa-mir-148b/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-345/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-151a/hsa-mir-296/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-19b-1/hsa-mir-328/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-1248/hsa-mir-499a/hsa-mir-31/hsa-mir-151b/hsa-mir-20b/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b	47
Colon Neoplasms	Colon Neoplasms	32/196	77/1764	1.53E-12	3.76E-11	1.35E-11	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-192/hsa-mir-142/hsa-mir-135b/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-19b-1/hsa-mir-582/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-552/hsa-mir-486-1	32
Neoplasms [unspecific]	Neoplasms [unspecific]	57/196	208/1764	1.56E-12	3.76E-11	1.35E-11	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-590/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-128-2/hsa-mir-32/hsa-mir-323a/hsa-mir-188/hsa-mir-30e/hsa-mir-210/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-296/hsa-mir-627/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-1291/hsa-mir-93/hsa-mir-181d/hsa-mir-100/hsa-mir-130a/hsa-mir-509-1/hsa-mir-452/hsa-mir-18a/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-509-2/hsa-mir-155/hsa-mir-511/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-3189/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b	57
Ovarian Neoplasms	Ovarian Neoplasms	38/196	106/1764	2.42E-12	5.63E-11	2.02E-11	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-30c-1/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-320a/hsa-mir-151a/hsa-mir-296/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-99b/hsa-mir-499a/hsa-mir-31/hsa-mir-151b/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b	38
TGF-beta1	TGF-beta1	44/196	141/1764	8.70E-12	1.91E-10	6.86E-11	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-590/hsa-mir-199b/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-361/hsa-mir-128-2/hsa-mir-140/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-134/hsa-mir-30c-2/hsa-mir-143/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-627/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-328/hsa-mir-212/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-99b/hsa-mir-31/hsa-mir-217/hsa-mir-483/hsa-mir-133a-2	44
Heart Failure	Heart Failure	40/196	120/1764	8.83E-12	1.91E-10	6.86E-11	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-539/hsa-mir-199b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-130b/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-107/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-210/hsa-let-7e/hsa-mir-30c-2/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-132/hsa-mir-29b-1/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-499a/hsa-mir-105-2/hsa-mir-133a-2/hsa-mir-34b	40
arsenic trioxide (ATO)	arsenic trioxide (ATO)	31/196	77/1764	9.95E-12	2.02E-10	7.24E-11	hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-32/hsa-mir-140/hsa-mir-210/hsa-mir-153-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-376a-1/hsa-mir-132/hsa-mir-200c/hsa-mir-149/hsa-mir-181d/hsa-mir-100/hsa-mir-328/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-20b	31
Pancreatic Neoplasms	Pancreatic Neoplasms	28/196	64/1764	9.96E-12	2.02E-10	7.24E-11	hsa-mir-106a/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-199a-2/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-32/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-95/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-217/hsa-mir-486-1/hsa-mir-34b	28
IL-1β	IL-1β	38/196	112/1764	1.75E-11	3.43E-10	1.23E-10	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-33b/hsa-mir-126/hsa-mir-142/hsa-mir-23a/hsa-mir-23b/hsa-mir-128-2/hsa-mir-140/hsa-mir-675/hsa-let-7e/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-1277/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-653/hsa-mir-149/hsa-mir-93/hsa-mir-100/hsa-mir-19b-1/hsa-mir-212/hsa-mir-411/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-99b/hsa-mir-187	38
Diabetes Mellitus	Diabetes Mellitus	30/196	74/1764	1.82E-11	3.46E-10	1.24E-10	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-130b/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-107/hsa-mir-30e/hsa-mir-143/hsa-mir-320a/hsa-mir-7-1/hsa-mir-200c/hsa-mir-149/hsa-mir-196b/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-486-1/hsa-mir-133a-2	30
"Adenocarcinoma, Lung"	"Adenocarcinoma, Lung"	35/196	101/1764	6.38E-11	1.18E-09	4.23E-10	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-551b/hsa-mir-590/hsa-mir-33b/hsa-mir-331/hsa-mir-126/hsa-mir-192/hsa-mir-23a/hsa-mir-140/hsa-mir-210/hsa-mir-134/hsa-mir-30c-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-151a/hsa-mir-200c/hsa-mir-149/hsa-mir-196b/hsa-mir-95/hsa-mir-328/hsa-mir-452/hsa-mir-18a/hsa-mir-155/hsa-mir-511/hsa-mir-203a/hsa-mir-203b/hsa-mir-31/hsa-mir-552/hsa-mir-187/hsa-mir-483/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-592	35
H2O2	H2O2	39/196	123/1764	9.93E-11	1.78E-09	6.39E-10	hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-154/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-345/hsa-mir-128-2/hsa-mir-323a/hsa-mir-210/hsa-mir-675/hsa-mir-545/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-3928/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-490/hsa-mir-1-1/hsa-mir-486-1/hsa-mir-1247	39
"Leukemia, Myeloid, Acute"	"Leukemia, Myeloid, Acute"	38/196	119/1764	1.43E-10	2.49E-09	8.93E-10	hsa-mir-323b/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-551b/hsa-mir-199b/hsa-mir-331/hsa-mir-126/hsa-mir-142/hsa-mir-154/hsa-mir-301b/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-3/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-30c-1/hsa-mir-323a/hsa-mir-188/hsa-mir-210/hsa-mir-30c-2/hsa-mir-222/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-181d/hsa-mir-196b/hsa-mir-19b-1/hsa-mir-328/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-203b/hsa-mir-34b	38
gemcitabine (GEM)	gemcitabine (GEM)	32/196	89/1764	1.58E-10	2.67E-09	9.59E-10	hsa-mir-301a/hsa-mir-16-1/hsa-let-7f-2/hsa-mir-331/hsa-mir-33a/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-let-7a-1/hsa-mir-345/hsa-mir-128-2/hsa-mir-210/hsa-mir-410/hsa-let-7e/hsa-mir-330/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-155/hsa-mir-187/hsa-mir-483/hsa-mir-320c-1/hsa-mir-320d-1	32
"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)"	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)"	32/196	91/1764	3.09E-10	5.11E-09	1.83E-09	hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-199a-2/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-140/hsa-mir-107/hsa-mir-188/hsa-mir-210/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-196b/hsa-mir-95/hsa-mir-19b-1/hsa-mir-212/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-31/hsa-mir-483/hsa-mir-486-1/hsa-mir-1247/hsa-mir-34b	32
Cardiovascular Diseases [unspecific]	Cardiovascular Diseases [unspecific]	26/196	64/1764	4.47E-10	7.20E-09	2.58E-09	hsa-mir-590/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-148a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-32/hsa-mir-210/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-758/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-100/hsa-mir-1-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-499a/hsa-mir-133a-2/hsa-mir-34b	26
Alzheimer's Disease	Alzheimer's Disease	33/196	100/1764	1.09E-09	1.70E-08	6.11E-09	hsa-mir-301a/hsa-mir-148b/hsa-mir-323b/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-33a/hsa-mir-136/hsa-mir-142/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-107/hsa-mir-323a/hsa-mir-188/hsa-mir-153-2/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-181d/hsa-mir-100/hsa-mir-212/hsa-mir-155/hsa-mir-511/hsa-mir-29c/hsa-mir-31/hsa-mir-483	33
Atherosclerosis	Atherosclerosis	32/196	95/1764	1.11E-09	1.70E-08	6.11E-09	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-136/hsa-mir-142/hsa-mir-135b/hsa-mir-19a/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-410/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-100/hsa-mir-19b-1/hsa-mir-19b-2/hsa-mir-155/hsa-mir-490/hsa-mir-29c/hsa-mir-499a/hsa-mir-133a-2	32
cisplatin (DDP)	cisplatin (DDP)	45/196	167/1764	1.28E-09	1.91E-08	6.85E-09	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-210/hsa-mir-134/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-132/hsa-mir-296/hsa-mir-374a/hsa-mir-758/hsa-mir-29b-1/hsa-mir-149/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-328/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-31/hsa-mir-486-1/hsa-mir-133a-2	45
Myeloma	Myeloma	12/196	16/1764	3.16E-09	4.61E-08	1.65E-08	hsa-mir-126/hsa-mir-135b/hsa-mir-19a/hsa-mir-140/hsa-mir-330/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-149/hsa-mir-130a/hsa-mir-203a/hsa-mir-203b/hsa-mir-483	12
Atrial Fibrillation	Atrial Fibrillation	24/196	60/1764	3.28E-09	4.69E-08	1.68E-08	hsa-mir-106a/hsa-mir-590/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-3613/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-93/hsa-mir-1266/hsa-mir-19b-1/hsa-mir-328/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-483/hsa-mir-486-1	24
"Carcinoma, Bladder"	"Carcinoma, Bladder"	36/196	120/1764	3.40E-09	4.75E-08	1.70E-08	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-140/hsa-mir-576/hsa-mir-210/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-130a/hsa-mir-1-2/hsa-mir-155/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-31/hsa-mir-20b/hsa-mir-1180/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-935	36
"Carcinoma, Cervical"	"Carcinoma, Cervical"	39/196	137/1764	3.68E-09	5.03E-08	1.80E-08	hsa-mir-148b/hsa-mir-16-2/hsa-mir-590/hsa-mir-331/hsa-mir-126/hsa-mir-33a/hsa-mir-142/hsa-mir-135b/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-361/hsa-mir-107/hsa-mir-744/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-93/hsa-mir-181d/hsa-mir-196b/hsa-mir-100/hsa-mir-130a/hsa-mir-328/hsa-mir-212/hsa-mir-18a/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-99b/hsa-mir-203b/hsa-mir-31/hsa-mir-187/hsa-mir-20b/hsa-mir-133a-2	39
Curcumin (Cur)	Curcumin (Cur)	34/196	110/1764	4.20E-09	5.61E-08	2.01E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-30c-1/hsa-mir-210/hsa-mir-675/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-196b/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-411/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-1247	34
Head And Neck Neoplasms	Head And Neck Neoplasms	18/196	36/1764	4.72E-09	6.18E-08	2.22E-08	hsa-mir-455/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-142/hsa-mir-130b/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-let-7e/hsa-mir-200c/hsa-mir-181d/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-499a/hsa-mir-133a-2	18
5-fluorouracil (5-FU)	5-fluorouracil (5-FU)	35/196	118/1764	8.21E-09	1.05E-07	3.78E-08	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-199b/hsa-mir-192/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-130b/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-32/hsa-mir-30e/hsa-mir-210/hsa-let-7e/hsa-mir-320a/hsa-mir-132/hsa-mir-374a/hsa-mir-758/hsa-mir-149/hsa-mir-196b/hsa-mir-3131/hsa-mir-19b-1/hsa-mir-19b-2/hsa-mir-155/hsa-mir-31/hsa-mir-551a/hsa-mir-1224/hsa-mir-1229/hsa-mir-760/hsa-mir-483/hsa-mir-486-1/hsa-mir-133a-2	35
Epigallocatechin gallate (EGCG)	Epigallocatechin gallate (EGCG)	20/196	45/1764	8.44E-09	1.06E-07	3.80E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-140/hsa-mir-210/hsa-mir-330/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-296/hsa-mir-29b-1/hsa-mir-93/hsa-mir-181d/hsa-mir-18a/hsa-mir-320c-1/hsa-mir-34b/hsa-mir-320d-1	20
"Carcinoma, Nasopharyngeal"	"Carcinoma, Nasopharyngeal"	34/196	113/1764	9.23E-09	1.14E-07	4.08E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-199b/hsa-mir-142/hsa-mir-148a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-mir-23b/hsa-mir-744/hsa-mir-30e/hsa-mir-134/hsa-let-7e/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-130a/hsa-mir-18a/hsa-mir-1-2/hsa-mir-504/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-31/hsa-mir-483/hsa-mir-34b	34
"Stroke, Ischemic"	"Stroke, Ischemic"	17/196	34/1764	1.31E-08	1.58E-07	5.67E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-199b/hsa-mir-126/hsa-mir-199a-2/hsa-mir-130b/hsa-mir-199a-1/hsa-mir-107/hsa-mir-210/hsa-let-7e/hsa-mir-149/hsa-mir-130a/hsa-mir-155/hsa-mir-499a/hsa-mir-605	17
"Carcinoma, Breast, Triple Negative"	"Carcinoma, Breast, Triple Negative"	23/196	60/1764	1.91E-08	2.27E-07	8.14E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-136/hsa-mir-135b/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-128-2/hsa-mir-107/hsa-mir-30e/hsa-mir-210/hsa-mir-143/hsa-mir-7-1/hsa-mir-200c/hsa-mir-93/hsa-mir-18a/hsa-mir-155/hsa-mir-490/hsa-mir-31/hsa-mir-217	23
Imatinib	Imatinib	20/196	47/1764	2.12E-08	2.47E-07	8.85E-08	hsa-mir-199b/hsa-mir-126/hsa-mir-199a-2/hsa-mir-142/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-30c-1/hsa-mir-134/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-7-1/hsa-mir-181d/hsa-mir-196b/hsa-mir-100/hsa-mir-130a/hsa-mir-328/hsa-mir-212/hsa-mir-155/hsa-mir-203a/hsa-mir-29c	20
adriamycin (ADR)	adriamycin (ADR)	17/196	35/1764	2.30E-08	2.59E-07	9.30E-08	hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-32/hsa-mir-30c-1/hsa-mir-30c-2/hsa-mir-222/hsa-mir-200c/hsa-mir-130a/hsa-mir-452/hsa-mir-155/hsa-mir-203a/hsa-mir-34b	17
glucocorticoid (GC)	glucocorticoid (GC)	19/196	43/1764	2.31E-08	2.59E-07	9.30E-08	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-642a/hsa-mir-32/hsa-mir-30e/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-149/hsa-mir-452/hsa-mir-18a/hsa-mir-155/hsa-mir-29c	19
