gene_id	Description
hsa-mir-519b	"Carcinoma, Laryngeal"
hsa-mir-1-1	"Carcinoma, Laryngeal"
hsa-mir-31	"Carcinoma, Laryngeal"
hsa-mir-1-2	"Carcinoma, Laryngeal"
hsa-mir-489	"Carcinoma, Laryngeal"
hsa-mir-486-1	"Carcinoma, Laryngeal"
hsa-mir-1276	"Carcinoma, Laryngeal"
hsa-mir-29a	"Carcinoma, Laryngeal"
hsa-mir-20a	"Carcinoma, Laryngeal"
hsa-mir-20b	"Carcinoma, Laryngeal"
hsa-mir-1291	"Carcinoma, Laryngeal"
hsa-mir-196a-1	"Carcinoma, Laryngeal"
hsa-mir-196a-2	"Carcinoma, Laryngeal"
hsa-mir-10b	"Carcinoma, Laryngeal"
hsa-mir-10a	"Carcinoma, Laryngeal"
hsa-mir-144	"Carcinoma, Laryngeal"
hsa-mir-9-1	"Carcinoma, Laryngeal"
hsa-mir-214	"Carcinoma, Laryngeal"
hsa-mir-152	"Carcinoma, Laryngeal"
hsa-mir-384	"Carcinoma, Laryngeal"
hsa-mir-130a	"Carcinoma, Laryngeal"
hsa-mir-210	"Carcinoma, Laryngeal"
hsa-mir-1264	"Carcinoma, Laryngeal"
hsa-mir-133a-1	"Carcinoma, Laryngeal"
hsa-mir-29b-1	"Carcinoma, Laryngeal"
hsa-mir-1290	"Carcinoma, Laryngeal"
hsa-mir-133a-2	"Carcinoma, Laryngeal"
hsa-mir-30b	"Carcinoma, Laryngeal"
hsa-mir-487a	"Carcinoma, Laryngeal"
hsa-mir-29b-2	"Carcinoma, Laryngeal"
hsa-mir-296	"Carcinoma, Laryngeal"
hsa-mir-106b	"Carcinoma, Laryngeal"
hsa-mir-632	"Carcinoma, Laryngeal"
hsa-mir-29c	"Carcinoma, Laryngeal"
hsa-mir-193b	"Carcinoma, Laryngeal"
hsa-mir-9-2	"Carcinoma, Laryngeal"
hsa-mir-486-2	"Carcinoma, Laryngeal"
hsa-mir-195	"Carcinoma, Laryngeal"
hsa-mir-1277	"Carcinoma, Laryngeal"
hsa-let-7a-2	"Carcinoma, Laryngeal"
hsa-mir-1265	"Carcinoma, Laryngeal"
hsa-let-7a-1	"Carcinoma, Laryngeal"
hsa-mir-1323	"Carcinoma, Lung"
hsa-mir-205	"Carcinoma, Lung"
hsa-mir-526b	"Carcinoma, Lung"
hsa-mir-449a	"Carcinoma, Lung"
hsa-mir-206	"Carcinoma, Lung"
hsa-mir-370	"Carcinoma, Lung"
hsa-mir-373	"Carcinoma, Lung"
hsa-mir-340	"Carcinoma, Lung"
hsa-mir-375	"Carcinoma, Lung"
hsa-mir-7-1	"Carcinoma, Lung"
hsa-mir-450a-1	"Carcinoma, Lung"
hsa-mir-122	"Carcinoma, Lung"
hsa-mir-126	"Carcinoma, Lung"
hsa-mir-127	"Carcinoma, Lung"
hsa-mir-101-2	"Carcinoma, Lung"
hsa-mir-101-1	"Carcinoma, Lung"
hsa-mir-19a	"Carcinoma, Lung"
hsa-mir-1244-1	"Carcinoma, Lung"
hsa-mir-1244-2	"Carcinoma, Lung"
hsa-mir-1244-3	"Carcinoma, Lung"
hsa-mir-32	"Carcinoma, Lung"
hsa-mir-31	"Carcinoma, Lung"
hsa-mir-19b-2	"Carcinoma, Lung"
hsa-mir-29c	"Carcinoma, Lung"
hsa-mir-1258	"Carcinoma, Lung"
hsa-mir-19b-1	"Carcinoma, Lung"
hsa-mir-125b-1	"Carcinoma, Lung"
hsa-mir-1236	"Carcinoma, Lung"
hsa-mir-769	"Carcinoma, Lung"
hsa-mir-1238	"Carcinoma, Lung"
hsa-mir-335	"Carcinoma, Lung"
hsa-mir-217	"Carcinoma, Lung"
hsa-mir-214	"Carcinoma, Lung"
hsa-mir-215	"Carcinoma, Lung"
hsa-mir-212	"Carcinoma, Lung"
hsa-mir-509-3	"Carcinoma, Lung"
hsa-mir-378c	"Carcinoma, Lung"
hsa-mir-361	"Carcinoma, Lung"
hsa-mir-520e	"Carcinoma, Lung"
hsa-mir-125a	"Carcinoma, Lung"
hsa-mir-299	"Carcinoma, Lung"
hsa-mir-564	"Carcinoma, Lung"
hsa-mir-198	"Carcinoma, Lung"
hsa-mir-197	"Carcinoma, Lung"
hsa-let-7a-2	"Carcinoma, Lung"
hsa-let-7a-3	"Carcinoma, Lung"
hsa-mir-192	"Carcinoma, Lung"
hsa-mir-1226	"Carcinoma, Lung"
hsa-mir-498	"Carcinoma, Lung"
hsa-mir-494	"Carcinoma, Lung"
hsa-mir-218-2	"Carcinoma, Lung"
hsa-mir-218-1	"Carcinoma, Lung"
hsa-mir-497	"Carcinoma, Lung"
hsa-mir-490	"Carcinoma, Lung"
hsa-mir-302b	"Carcinoma, Lung"
hsa-mir-153-1	"Carcinoma, Lung"
hsa-mir-493	"Carcinoma, Lung"
hsa-mir-4423	"Carcinoma, Lung"
hsa-mir-100	"Carcinoma, Lung"
hsa-mir-107	"Carcinoma, Lung"
hsa-mir-378b	"Carcinoma, Lung"
hsa-mir-135a-2	"Carcinoma, Lung"
hsa-mir-135a-1	"Carcinoma, Lung"
hsa-mir-200a	"Carcinoma, Lung"
hsa-mir-410	"Carcinoma, Lung"
hsa-mir-378g	"Carcinoma, Lung"
hsa-mir-378e	"Carcinoma, Lung"
hsa-mir-557	"Carcinoma, Lung"
hsa-mir-450b	"Carcinoma, Lung"
hsa-mir-26a-2	"Carcinoma, Lung"
hsa-mir-26a-1	"Carcinoma, Lung"
hsa-mir-181a-1	"Carcinoma, Lung"
hsa-mir-182	"Carcinoma, Lung"
hsa-mir-183	"Carcinoma, Lung"
hsa-mir-27b	"Carcinoma, Lung"
hsa-mir-124-3	"Carcinoma, Lung"
hsa-mir-185	"Carcinoma, Lung"
hsa-mir-30a	"Carcinoma, Lung"
hsa-mir-30b	"Carcinoma, Lung"
hsa-mir-30d	"Carcinoma, Lung"
hsa-mir-10b	"Carcinoma, Lung"
hsa-mir-10a	"Carcinoma, Lung"
hsa-mir-383	"Carcinoma, Lung"
hsa-mir-133a-1	"Carcinoma, Lung"
hsa-mir-423	"Carcinoma, Lung"
hsa-mir-208a	"Carcinoma, Lung"
hsa-mir-338	"Carcinoma, Lung"
hsa-mir-663b	"Carcinoma, Lung"
hsa-mir-99a	"Carcinoma, Lung"
hsa-mir-203b	"Carcinoma, Lung"
hsa-mir-203a	"Carcinoma, Lung"
hsa-mir-29b-2	"Carcinoma, Lung"
hsa-mir-300	"Carcinoma, Lung"
hsa-mir-92a-1	"Carcinoma, Lung"
hsa-mir-92a-2	"Carcinoma, Lung"
hsa-mir-133b	"Carcinoma, Lung"
hsa-mir-26b	"Carcinoma, Lung"
hsa-mir-193a	"Carcinoma, Lung"
hsa-mir-187	"Carcinoma, Lung"
hsa-let-7a-1	"Carcinoma, Lung"
hsa-mir-15a	"Carcinoma, Lung"
hsa-mir-570	"Carcinoma, Lung"
hsa-mir-451b	"Carcinoma, Lung"
hsa-mir-34a	"Carcinoma, Lung"
hsa-mir-5100	"Carcinoma, Lung"
hsa-mir-451a	"Carcinoma, Lung"
hsa-mir-630	"Carcinoma, Lung"
hsa-mir-506	"Carcinoma, Lung"
hsa-mir-638	"Carcinoma, Lung"
hsa-mir-124-1	"Carcinoma, Lung"
hsa-mir-129-1	"Carcinoma, Lung"
hsa-mir-181a-2	"Carcinoma, Lung"
hsa-mir-124-2	"Carcinoma, Lung"
hsa-let-7b	"Carcinoma, Lung"
hsa-let-7c	"Carcinoma, Lung"
hsa-mir-133a-2	"Carcinoma, Lung"
hsa-let-7g	"Carcinoma, Lung"
hsa-let-7d	"Carcinoma, Lung"
hsa-let-7e	"Carcinoma, Lung"
hsa-mir-512-2	"Carcinoma, Lung"
hsa-mir-512-1	"Carcinoma, Lung"
hsa-mir-450a-2	"Carcinoma, Lung"
hsa-mir-4286	"Carcinoma, Lung"
hsa-mir-134	"Carcinoma, Lung"
hsa-mir-495	"Carcinoma, Lung"
hsa-mir-486-1	"Carcinoma, Lung"
hsa-mir-486-2	"Carcinoma, Lung"
hsa-mir-499b	"Carcinoma, Lung"
hsa-mir-196a-1	"Carcinoma, Lung"
hsa-mir-196a-2	"Carcinoma, Lung"
hsa-mir-499a	"Carcinoma, Lung"
hsa-mir-301b	"Carcinoma, Lung"
hsa-mir-153-2	"Carcinoma, Lung"
hsa-mir-9-1	"Carcinoma, Lung"
hsa-mir-150	"Carcinoma, Lung"
hsa-mir-9-3	"Carcinoma, Lung"
hsa-mir-9-2	"Carcinoma, Lung"
hsa-mir-155	"Carcinoma, Lung"
hsa-mir-154	"Carcinoma, Lung"
hsa-mir-7-3	"Carcinoma, Lung"
hsa-mir-29b-1	"Carcinoma, Lung"
hsa-mir-93	"Carcinoma, Lung"
hsa-mir-95	"Carcinoma, Lung"
hsa-mir-608	"Carcinoma, Lung"
hsa-mir-96	"Carcinoma, Lung"
hsa-mir-522	"Carcinoma, Lung"
hsa-mir-328	"Carcinoma, Lung"
hsa-mir-545	"Carcinoma, Lung"
hsa-mir-144	"Carcinoma, Lung"
hsa-mir-145	"Carcinoma, Lung"
hsa-mir-663a	"Carcinoma, Lung"
hsa-mir-29a	"Carcinoma, Lung"
hsa-mir-33a	"Carcinoma, Lung"
hsa-mir-517a	"Carcinoma, Lung"
hsa-mir-33b	"Carcinoma, Lung"
hsa-mir-25	"Carcinoma, Lung"
hsa-mir-592	"Carcinoma, Lung"
hsa-mir-21	"Carcinoma, Lung"
hsa-mir-3662	"Carcinoma, Lung"
hsa-mir-610	"Carcinoma, Lung"
hsa-mir-616	"Carcinoma, Lung"
hsa-mir-614	"Carcinoma, Lung"
hsa-mir-148b	"Carcinoma, Lung"
hsa-mir-148a	"Carcinoma, Lung"
hsa-mir-125b-2	"Carcinoma, Lung"
hsa-mir-142	"Carcinoma, Lung"
hsa-mir-143	"Carcinoma, Lung"
hsa-mir-140	"Carcinoma, Lung"
hsa-mir-141	"Carcinoma, Lung"
hsa-mir-224	"Carcinoma, Lung"
hsa-mir-223	"Carcinoma, Lung"
hsa-mir-222	"Carcinoma, Lung"
hsa-mir-7-2	"Carcinoma, Lung"
hsa-mir-149	"Carcinoma, Lung"
hsa-mir-16-2	"Carcinoma, Lung"
hsa-mir-16-1	"Carcinoma, Lung"
hsa-mir-17	"Carcinoma, Lung"
hsa-mir-4500	"Carcinoma, Lung"
hsa-mir-9500	"Carcinoma, Lung"
hsa-mir-1973	"Carcinoma, Lung"
hsa-mir-221	"Carcinoma, Lung"
hsa-mir-34b	"Carcinoma, Lung"
hsa-mir-34c	"Carcinoma, Lung"
hsa-mir-1-1	"Carcinoma, Lung"
hsa-mir-1-2	"Carcinoma, Lung"
hsa-mir-200b	"Carcinoma, Lung"
hsa-mir-129-2	"Carcinoma, Lung"
hsa-mir-582	"Carcinoma, Lung"
hsa-mir-200c	"Carcinoma, Lung"
hsa-mir-30c-2	"Carcinoma, Lung"
hsa-mir-27a	"Carcinoma, Lung"
hsa-mir-30c-1	"Carcinoma, Lung"
hsa-mir-937	"Carcinoma, Lung"
hsa-mir-660	"Carcinoma, Lung"
hsa-mir-378a	"Carcinoma, Lung"
hsa-mir-199a-1	"Carcinoma, Lung"
hsa-mir-130b	"Carcinoma, Lung"
hsa-mir-199a-2	"Carcinoma, Lung"
hsa-mir-138-2	"Carcinoma, Lung"
hsa-mir-378f	"Carcinoma, Lung"
hsa-mir-138-1	"Carcinoma, Lung"
hsa-mir-503	"Carcinoma, Lung"
hsa-mir-558	"Carcinoma, Lung"
hsa-mir-132	"Carcinoma, Lung"
hsa-mir-346	"Carcinoma, Lung"
hsa-mir-137	"Carcinoma, Lung"
hsa-mir-342	"Carcinoma, Lung"
hsa-mir-487b	"Carcinoma, Lung"
hsa-mir-106a	"Carcinoma, Lung"
hsa-mir-139	"Carcinoma, Lung"
hsa-mir-152	"Carcinoma, Lung"
hsa-mir-944	"Carcinoma, Lung"
hsa-mir-146a	"Carcinoma, Lung"
hsa-mir-30a	"Carcinoma, Lung, Small-Cell"
hsa-mir-29b-1	"Carcinoma, Lung, Small-Cell"
hsa-mir-324	"Carcinoma, Lung, Small-Cell"
hsa-mir-125a	"Carcinoma, Lung, Small-Cell"
hsa-mir-335	"Carcinoma, Lung, Small-Cell"
hsa-mir-495	"Carcinoma, Lung, Small-Cell"
hsa-mir-29b-2	"Carcinoma, Lung, Small-Cell"
hsa-mir-28	"Carcinoma, Lung, Small-Cell"
hsa-mir-26a-2	"Carcinoma, Lung, Small-Cell"
hsa-mir-92a-2	"Carcinoma, Lung, Small-Cell"
hsa-mir-181a-1	"Carcinoma, Lung, Small-Cell"
hsa-mir-30b	"Carcinoma, Lung, Small-Cell"
hsa-mir-24-1	"Carcinoma, Lung, Small-Cell"
hsa-mir-155	"Carcinoma, Lung, Small-Cell"
hsa-mir-26a-1	"Carcinoma, Lung, Small-Cell"
hsa-mir-34c	"Carcinoma, Lung, Small-Cell"
hsa-mir-137	"Carcinoma, Lung, Small-Cell"
hsa-mir-24-2	"Carcinoma, Lung, Small-Cell"
hsa-mir-30d	"Carcinoma, Lung, Small-Cell"
hsa-mir-30e	"Carcinoma, Lung, Small-Cell"
hsa-mir-181a-2	"Carcinoma, Lung, Small-Cell"
hsa-mir-519d	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-675	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-379	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-320e	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-205	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-204	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-320a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-7-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-370	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-373	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-372	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-375	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-422a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-377	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-122	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-126	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-127	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-101-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-135a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-101-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-575	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-128-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-128-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-32	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-31	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-19b-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-29c	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-19b-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-125b-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-20b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-489	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-761	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-483	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-214	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-509-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-509-3	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-210	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-509-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-367	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-92b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-361	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-520a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-520e	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-125a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-296	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-24-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1246	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-195	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-197	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-191	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-192	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-449a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-494	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-218-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-218-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-497	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-153-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-153-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1228	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-107	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-365b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-200b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378c	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-135a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378f	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378g	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378e	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-26a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-26a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-181a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-182	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-27a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-27b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-186	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-124-3	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-184	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-185	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-382	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-30a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-30b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-30d	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-708	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-10b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-10a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-429	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-376a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-500a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-133a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1290	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-133a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-424	"Carcinoma, Lung. Non-Small-Cell"
hsa-let-7g	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-542	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-543	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-541	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-99a	"Carcinoma, Lung. Non-Small-Cell"
hsa-let-7d	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-203a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-29b-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-187	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-376a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-92a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-193b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-193a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-15a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-570	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-590	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-592	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-635	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-124-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-129-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-181a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-124-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-let-7b	"Carcinoma, Lung. Non-Small-Cell"
hsa-let-7c	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-181b-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-181b-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-let-7e	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-512-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-512-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-330	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-495	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-874	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-486-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-196b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-137	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-499b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-196a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-196a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-499a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-301b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-301a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-320b-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-320b-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-9-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-150	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-18a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-155	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-7-3	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-29b-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-7-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-95	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-203b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-326	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-325	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-135b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-134	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-144	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-4293	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-145	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-486-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1285-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1207	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-29a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-33a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1304	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-25	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-3666	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-21	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-22	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-599	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1285-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-23a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-23b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-92a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-148b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-148a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-125b-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-142	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-143	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-140	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-141	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-223	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-222	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-221	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-149	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-16-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-16-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-17	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-26b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-452	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-454	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-365a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-34a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-34c	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1271	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-1-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-216b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-378b	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-939	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-585	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-200c	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-30c-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-3619	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-30c-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-662	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-200a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-199a-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-130a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-199a-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-138-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-138-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-502	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-503	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-4782	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-132	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-129-2	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-136	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-342	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-98	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-139	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-24-1	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-152	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-212	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-146a	"Carcinoma, Lung. Non-Small-Cell"
hsa-mir-375	"Carcinoma, Merkel Cell"
hsa-mir-203b	"Carcinoma, Merkel Cell"
hsa-mir-203a	"Carcinoma, Merkel Cell"
hsa-mir-1323	"Carcinoma, Nasopharyngeal"
hsa-mir-4649	"Carcinoma, Nasopharyngeal"
hsa-mir-205	"Carcinoma, Nasopharyngeal"
hsa-mir-204	"Carcinoma, Nasopharyngeal"
